pep_id,tcr_id,label,split
pep12,tcr254,0,train
pep13,tcr2713,0,train
pep6,tcr3719,0,train
pep4,tcr2935,0,train
pep13,tcr4127,0,train
pep12,tcr3508,0,train
pep6,tcr3730,0,train
pep13,tcr2292,1,train
pep13,tcr5378,0,train
pep4,tcr3951,0,train
pep1,tcr3972,0,train
pep4,tcr2643,0,train
pep14,tcr1109,1,train
pep13,tcr5307,0,train
pep1,tcr1754,0,train
pep8,tcr2600,1,train
pep13,tcr3667,0,train
pep8,tcr5135,0,train
pep4,tcr2595,0,train
pep12,tcr5220,0,train
pep6,tcr3284,0,train
pep16,tcr2632,0,train
pep7,tcr3741,0,train
pep3,tcr5402,0,train
pep1,tcr5003,0,train
pep9,tcr4005,0,train
pep12,tcr2784,0,train
pep14,tcr937,0,train
pep13,tcr3530,0,train
pep1,tcr3406,0,train
pep12,tcr32,1,train
pep4,tcr1597,0,train
pep7,tcr2635,0,train
pep7,tcr3039,0,train
pep7,tcr2533,0,train
pep2,tcr5402,1,train
pep7,tcr878,0,train
pep16,tcr1959,0,train
pep4,tcr4518,0,train
pep9,tcr3985,0,train
pep7,tcr1797,0,train
pep8,tcr794,0,train
pep7,tcr4671,0,train
pep10,tcr3995,0,train
pep0,tcr4762,0,train
pep6,tcr4693,0,train
pep4,tcr3132,0,train
pep8,tcr2750,0,train
pep4,tcr1794,0,train
pep13,tcr3402,0,train
pep4,tcr548,1,train
pep5,tcr1956,1,train
pep10,tcr1109,0,train
pep12,tcr2627,0,train
pep9,tcr3655,0,train
pep5,tcr3010,0,train
pep8,tcr1984,0,train
pep5,tcr5111,0,train
pep6,tcr2910,0,train
pep14,tcr1249,1,train
pep12,tcr4413,0,train
pep7,tcr5098,1,train
pep4,tcr2793,0,train
pep6,tcr3550,0,train
pep13,tcr5098,0,train
pep8,tcr5003,0,train
pep13,tcr1947,0,train
pep6,tcr3949,0,train
pep2,tcr171,0,train
pep7,tcr885,0,train
pep1,tcr3969,0,train
pep9,tcr4828,1,train
pep16,tcr4369,0,train
pep12,tcr2349,0,train
pep7,tcr383,0,train
pep8,tcr1089,0,train
pep4,tcr3141,0,train
pep8,tcr5339,0,train
pep5,tcr2094,0,train
